# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within sampletype2	All between sampletype2	-14.5657223736	6.73289515396e-48	9.17693609485e-45	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. diabetic_skin_adj	14.8775379992	0.0	0.0	N/A	N/A
All within sampletype2	control_skin_right vs. control_skin_right	6.23083137103	4.97829555357e-10	6.78541683952e-07	N/A	N/A
All within sampletype2	wound_swab vs. wound_swab	-19.5102228892	4.19506713351e-82	5.71787650298e-79	N/A	N/A
All within sampletype2	diabetic_skin_contra vs. diabetic_skin_contra	2.48373637756	0.013029044029	1	N/A	N/A
All within sampletype2	wound_deb vs. wound_deb	-17.204498521	1.33045502383e-64	1.81341019748e-61	N/A	N/A
All within sampletype2	control_skin_left vs. control_skin_left	5.84371061385	5.38296496266e-09	7.33698124411e-06	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. Unknown3	4.2538806417	2.13981894315e-05	0.0291657321951	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. Unknown	0.897767970133	0.36935300674	1	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. Positive_4	-10.7209297411	1.58602000359e-26	2.16174526489e-23	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. Positive_3	-10.3178197298	1.04125322564e-24	1.41922814655e-21	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. control_skin_right	8.48454277237	0.0	0.0	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. wound_swab	-13.4546480771	9.54820572029e-41	1.30142043968e-37	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. diabetic_skin_contra	9.12050595117	0.0	0.0	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. wound_deb	-15.2669437869	1.04887247777e-51	1.42961318719e-48	N/A	N/A
All within sampletype2	diabetic_skin_adj vs. control_skin_left	6.08297847459	1.24223586973e-09	1.69316749044e-06	N/A	N/A
All within sampletype2	Unknown3 vs. Unknown	-0.712023628957	[ 0.47648408]	1	N/A	N/A
All within sampletype2	Unknown3 vs. Positive_4	1.53293078374	[ 0.12535755]	1	N/A	N/A
All within sampletype2	Unknown3 vs. Positive_3	1.47252272676	[ 0.14094408]	1	N/A	N/A
All within sampletype2	Unknown3 vs. control_skin_right	3.41057248238	0.000653472036728	0.89068238606	N/A	N/A
All within sampletype2	Unknown3 vs. wound_swab	-1.41401835939	0.157419617875	1	N/A	N/A
All within sampletype2	Unknown3 vs. diabetic_skin_contra	2.96446495034	0.00304659555079	1	N/A	N/A
All within sampletype2	Unknown3 vs. wound_deb	-1.65192724578	0.0986131572534	1	N/A	N/A
All within sampletype2	Unknown3 vs. control_skin_left	3.30057178958	0.000971731686929	1	N/A	N/A
All within sampletype2	Unknown vs. Positive_4	1.09146550898	[ 0.27512183]	1	N/A	N/A
All within sampletype2	Unknown vs. Positive_3	1.03131255753	[ 0.30244523]	1	N/A	N/A
All within sampletype2	Unknown vs. control_skin_right	1.93205618794	0.053409789983	1	N/A	N/A
All within sampletype2	Unknown vs. wound_swab	-2.09470145847	0.0362484223322	1	N/A	N/A
All within sampletype2	Unknown vs. diabetic_skin_contra	1.35552657678	0.175311852978	1	N/A	N/A
All within sampletype2	Unknown vs. wound_deb	-2.07328478639	0.0381976770861	1	N/A	N/A
All within sampletype2	Unknown vs. control_skin_left	2.24687142114	0.0246922587033	1	N/A	N/A
All within sampletype2	Positive_4 vs. Positive_3	-1.56690573601	[ 0.11720138]	1	N/A	N/A
All within sampletype2	Positive_4 vs. control_skin_right	-9.69957455567	4.76025958927e-22	6.48823382018e-19	N/A	N/A
All within sampletype2	Positive_4 vs. wound_swab	-7.25226717196	4.73550979929e-13	6.45449985643e-10	N/A	N/A
All within sampletype2	Positive_4 vs. diabetic_skin_contra	-9.90725693554	6.32726065707e-23	8.62405627559e-20	N/A	N/A
All within sampletype2	Positive_4 vs. wound_deb	-6.12747554998	9.62364654366e-10	1.3117030239e-06	N/A	N/A
All within sampletype2	Positive_4 vs. control_skin_left	-10.2378057769	2.34812973269e-24	3.20050082566e-21	N/A	N/A
All within sampletype2	Positive_3 vs. control_skin_right	-9.33114505103	1.54473427392e-20	2.10547281535e-17	N/A	N/A
All within sampletype2	Positive_3 vs. wound_swab	-6.89552597559	6.04233992219e-12	8.23570931395e-09	N/A	N/A
All within sampletype2	Positive_3 vs. diabetic_skin_contra	-9.51503089215	2.76229282634e-21	3.7650051223e-18	N/A	N/A
All within sampletype2	Positive_3 vs. wound_deb	-5.8232983192	6.13584927524e-09	8.36316256215e-06	N/A	N/A
All within sampletype2	Positive_3 vs. control_skin_left	-9.84548848922	1.15791119262e-22	1.57823295555e-19	N/A	N/A
All within sampletype2	control_skin_right vs. wound_swab	-17.6777414413	2.54643657823e-68	3.47079305613e-65	N/A	N/A
All within sampletype2	control_skin_right vs. diabetic_skin_contra	4.7144023642	2.47424978927e-06	0.00337240246278	N/A	N/A
All within sampletype2	control_skin_right vs. wound_deb	-18.0814066066	3.29716394194e-71	4.49403445286e-68	N/A	N/A
All within sampletype2	control_skin_right vs. control_skin_left	8.8470415304	0.0	0.0	N/A	N/A
All within sampletype2	wound_swab vs. diabetic_skin_contra	-18.0161272468	6.89917913159e-71	9.40358115635e-68	N/A	N/A
All within sampletype2	wound_swab vs. wound_deb	-23.0299024035	1.33850535301e-112	1.82438279615e-109	N/A	N/A
All within sampletype2	wound_swab vs. control_skin_left	-20.042225451	8.55481705542e-87	1.16602156465e-83	N/A	N/A
All within sampletype2	diabetic_skin_contra vs. wound_deb	-18.7036481337	5.47483199036e-76	7.46219600285e-73	N/A	N/A
All within sampletype2	diabetic_skin_contra vs. control_skin_left	3.77308641043	0.0001626138485	0.221642675506	N/A	N/A
All within sampletype2	wound_deb vs. control_skin_left	-20.3023954344	9.10199610863e-89	1.24060206961e-85	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. diabetic_skin_adj	23.1806481872	0.0	0.0	N/A	N/A
All between sampletype2	control_skin_right vs. control_skin_right	12.3266215261	0.0	0.0	N/A	N/A
All between sampletype2	wound_swab vs. wound_swab	-14.545896036	9.5126603671e-48	1.29657560804e-44	N/A	N/A
All between sampletype2	diabetic_skin_contra vs. diabetic_skin_contra	9.48421197327	0.0	0.0	N/A	N/A
All between sampletype2	wound_deb vs. wound_deb	-13.1190152365	3.41681282324e-39	4.65711587807e-36	N/A	N/A
All between sampletype2	control_skin_left vs. control_skin_left	12.7503804419	0.0	0.0	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. Unknown3	5.79195738634	7.03866231966e-09	9.59369674169e-06	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. Unknown	2.46235421117	0.0138093826401	1	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. Positive_4	-9.05771394939	1.42495560238e-19	1.94221448605e-16	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. Positive_3	-8.65802602051	5.07839374907e-18	6.92185067999e-15	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. control_skin_right	18.6169238964	0.0	0.0	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. wound_swab	-6.0277250098	1.6840682764e-09	2.29538506074e-06	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. diabetic_skin_contra	20.2481586667	0.0	0.0	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. wound_deb	-8.82206509053	1.19026918032e-18	1.62233689278e-15	N/A	N/A
All between sampletype2	diabetic_skin_adj vs. control_skin_left	16.6793346191	0.0	0.0	N/A	N/A
All between sampletype2	Unknown3 vs. Unknown	-0.932640571101	[ 0.35101441]	1	N/A	N/A
All between sampletype2	Unknown3 vs. Positive_4	1.29228182453	[ 0.19627128]	1	N/A	N/A
All between sampletype2	Unknown3 vs. Positive_3	1.23241279642	[ 0.21780629]	1	N/A	N/A
All between sampletype2	Unknown3 vs. control_skin_right	4.78261223828	1.73996891339e-06	0.00237157762896	N/A	N/A
All between sampletype2	Unknown3 vs. wound_swab	0.0285558207913	0.977219070858	1	N/A	N/A
All between sampletype2	Unknown3 vs. diabetic_skin_contra	4.44691918009	8.74779203719e-06	0.0119232405467	N/A	N/A
All between sampletype2	Unknown3 vs. wound_deb	-0.399261653444	0.689703760806	1	N/A	N/A
All between sampletype2	Unknown3 vs. control_skin_left	4.76333436162	1.9146549044e-06	0.0026096746347	N/A	N/A
All between sampletype2	Unknown vs. Positive_4	0.854755801226	[ 0.39269439]	1	N/A	N/A
All between sampletype2	Unknown vs. Positive_3	0.795139602293	[ 0.42653971]	1	N/A	N/A
All between sampletype2	Unknown vs. control_skin_right	3.31437968205	0.000919745786633	1	N/A	N/A
All between sampletype2	Unknown vs. wound_swab	-0.643868738917	0.519666340095	1	N/A	N/A
All between sampletype2	Unknown vs. diabetic_skin_contra	2.84943000734	0.00438326836271	1	N/A	N/A
All between sampletype2	Unknown vs. wound_deb	-0.814482655798	0.415376106156	1	N/A	N/A
All between sampletype2	Unknown vs. control_skin_left	3.71577319756	0.000203015317987	0.276709878417	N/A	N/A
All between sampletype2	Positive_4 vs. Positive_3	-1.77989445512	[ 0.07510515]	1	N/A	N/A
All between sampletype2	Positive_4 vs. control_skin_right	-8.21508713457	2.2195665071e-16	3.02526914917e-13	N/A	N/A
All between sampletype2	Positive_4 vs. wound_swab	-5.77535946139	7.76796750286e-09	1.05877397064e-05	N/A	N/A
All between sampletype2	Positive_4 vs. diabetic_skin_contra	-8.31785423055	9.39872565129e-17	1.28104630627e-13	N/A	N/A
All between sampletype2	Positive_4 vs. wound_deb	-4.84254820866	1.28934941344e-06	0.00175738325052	N/A	N/A
