OTU	Test-Statistic	P	FDR_P	Bonferroni_P	control_mean	diabetes_mean	taxonomy
OTU_473	61.9815493387	3.46690526647e-15	3.67145267719e-12	3.67145267719e-12	16.7160493827	0.536585365854	k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Caldicellulosiruptoraceae; g__Caldicellulosiruptor; s__saccharolyticus
OTU_180	55.4455572433	9.6083616098e-14	5.08762747239e-11	1.01752549448e-10	38.8641975309	2.12195121951	k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Carboxydocellaceae; g__Carboxydocella; s__
OTU_160	46.1797324499	1.07887274368e-11	3.80842078518e-09	1.14252623555e-08	0.197530864198	31.5853658537	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__
OTU_184	38.6366441094	5.10513992004e-10	1.35158579383e-07	5.40634317533e-07	16.012345679	3.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nakamurellaceae; g__; s__
OTU_211	35.9033430973	2.07352631792e-09	3.78779004697e-07	2.19586437068e-06	23.8395061728	3.85365853659	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_640	35.836355878	2.14605668383e-09	3.78779004697e-07	2.27267402818e-06	9.40740740741	1.90243902439	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
OTU_1606	33.2332836521	8.17394043515e-09	1.23660041726e-06	8.65620292083e-06	45.0740740741	2.0487804878	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__
OTU_1165	32.7361343836	1.05556584246e-08	1.39730528395e-06	1.11784422716e-05	19.3086419753	3.9756097561	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__
OTU_22	32.4503785535	1.2227513465e-08	1.39861208211e-06	1.29489367594e-05	30.012345679	6.68292682927	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinomycetospora; s__
OTU_786	32.300650283	1.32069129567e-08	1.39861208211e-06	1.39861208211e-05	24.2716049383	5.92682926829	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae
