OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	46.3032046543	1.01298142627e-11	1.13483476543e-09	1.52960195367e-09	0.000274796747967	6.86274509804e-06
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	45.5301239965	1.50309240454e-11	1.13483476543e-09	2.26966953086e-09	0.00152276422764	6.02941176471e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	42.8251213053	5.98585169916e-11	3.01287868858e-09	9.03863606573e-09	0.000229268292683	5.39215686275e-06
k__Bacteria;p__Bacteroidetes;c__Cytophagia	41.7387399372	1.04321321256e-10	3.93812987742e-09	1.57525195097e-08	0.00115609756098	0.000163725490196
k__Bacteria;p__Planctomycetes;c__Planctomycetia	38.4376643059	5.65307775411e-10	1.5427173652e-08	8.53614740871e-08	0.000833333333333	5.58823529412e-05
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	38.2796035712	6.13000277562e-10	1.5427173652e-08	9.25630419118e-08	0.00745609756098	5.53921568627e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	36.1319817345	1.84395583495e-09	3.97767615825e-08	2.78437331077e-07	0.000936585365854	2.59803921569e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	35.5682592606	2.46267771413e-09	4.42178407818e-08	3.71864334834e-07	0.00040243902439	1.47058823529e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	35.4361478266	2.63550044395e-09	4.42178407818e-08	3.97960567036e-07	0.00316991869919	0.0018318627451
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	34.2936846258	4.73917156317e-09	6.83163683516e-08	7.15614906039e-07	0.000352845528455	3.87254901961e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	34.1985159834	4.97668908521e-09	6.83163683516e-08	7.51480051867e-07	0.000591869918699	2.64705882353e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	33.9538294286	5.64355004484e-09	7.10146713976e-08	8.52176056771e-07	0.0010487804878	7.64705882353e-05
k__Bacteria;p__Chloroflexi;c__Ellin6529	33.6424121624	6.62327358516e-09	7.69318701046e-08	1.00011431136e-06	0.000165040650407	2.45098039216e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	33.1010489396	8.7491509195e-09	9.43658420603e-08	1.32112178884e-06	0.00352357723577	0.00158676470588
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae	31.7276804676	1.77376013971e-08	1.71590986566e-07	2.67837781097e-06	0.00148292682927	8.72549019608e-05
k__Bacteria;p__[Thermi];c__Deinococci	31.5974984639	1.89673762153e-08	1.71590986566e-07	2.86407380851e-06	0.00161463414634	0.000150980392157
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	31.5619098722	1.93181905406e-08	1.71590986566e-07	2.91704677163e-06	0.00254715447154	0.000122058823529
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	31.257306665	2.25995299653e-08	1.8958494582e-07	3.41252902475e-06	0.000721951219512	5.3431372549e-05
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	29.6622554341	5.14264658055e-08	4.08705070349e-07	7.76539633663e-06	0.000165853658537	1.32352941176e-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast	29.1672809516	6.63909352353e-08	5.01251561026e-07	1.00250312205e-05	0.00563902439024	0.00031862745098
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	27.7718976268	1.36494461045e-07	9.81460172276e-07	2.06106636178e-05	0.000247967479675	2.74509803922e-05
k__Bacteria;p__Chloroflexi;c__Thermomicrobia	26.3645663678	2.82678974376e-07	1.94020568777e-06	4.26845251308e-05	0.000308943089431	0.000131862745098
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	26.2513803969	2.99740495402e-07	1.96786151329e-06	4.52608148057e-05	0.0447593495935	0.0160460784314
k__Bacteria;p__Cyanobacteria;c__ML635J-21	25.9683425099	3.47062123387e-07	2.18359919298e-06	5.24063806315e-05	7.23577235772e-05	4.41176470588e-06
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	24.99953731	5.73440738352e-07	3.46358205965e-06	8.65895514911e-05	0.000224390243902	3.43137254902e-06
k__Bacteria;p__WPS-2;c__	24.7418621464	6.55449590342e-07	3.80664954391e-06	9.89728881416e-05	4.30894308943e-05	9.80392156863e-07
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	24.5702942039	7.16477637653e-07	4.0069675291e-06	0.000108188123286	2.68292682927e-05	9.80392156863e-07
Unassigned;Other;Other	22.515487835	2.08456104489e-06	1.12417399207e-05	0.000314768717779	0.000492682926829	0.000111274509804
k__Bacteria;p__Chloroflexi;c__TK10	22.1858793056	2.47487323685e-06	1.28864089229e-05	0.000373705858764	4.39024390244e-05	1.47058823529e-06
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	21.9847686796	2.74822801778e-06	1.38327476895e-05	0.000414982430685	0.000191869918699	5.88235294118e-06
k__Bacteria;p__Actinobacteria;c__Rubrobacteria	21.8160552059	3.00078593506e-06	1.46167314901e-05	0.000453118676195	0.000246341463415	2.35294117647e-05
k__Bacteria;p__Verrucomicrobia;c__Opitutae	18.9342871166	1.35299012753e-05	6.38442216426e-05	0.00204301509256	4.47154471545e-05	4.90196078431e-07
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	18.1213909975	2.07259962783e-05	9.48371344854e-05	0.00312962543802	5.60975609756e-05	1.47058823529e-06
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3	17.7732551548	2.48856924062e-05	0.000110521751569	0.00375773955333	5.20325203252e-05	2.45098039216e-06
k__Bacteria;p__FBP;c__	17.6626489731	2.6375535106e-05	0.000113791594314	0.00398270580101	0.000149593495935	5.88235294118e-06
