OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	31.75916988	1.75E-08	2.94E-07	1.97E-05	0.039525203	0.012406373	0.027118831
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	51.72289601	6.39E-13	2.18E-10	7.22E-10	0.017765041	0.000587255	0.017177786
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	38.87571557	4.52E-10	2.13E-08	5.10E-07	0.01352439	0.000613235	0.012911155
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	22.07086824	2.63E-06	2.05E-05	0.002969272	0.010865041	4.36E-05	0.010821413
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__	39.19399286	3.84E-10	1.89E-08	4.34E-07	0.010109756	0.000379902	0.009729854
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	26.2868019	2.94E-07	3.07E-06	0.000332551	0.008239024	0.000171569	0.008067456
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	22.46085846	2.14E-06	1.72E-05	0.002423507	0.006963415	4.61E-05	0.006917336
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria	28.22735179	1.08E-07	1.32E-06	0.000121892	0.005925203	0.000329902	0.005595301
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	26.27528406	2.96E-07	3.07E-06	0.00033454	0.005371545	0.000287255	0.00508429
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	38.40477707	5.75E-10	2.41E-08	6.50E-07	0.005139024	0.000185294	0.00495373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	23.79207248	1.07E-06	9.33E-06	0.001212756	0.004776423	0.002508333	0.002268089
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__	40.49276209	1.97E-10	1.17E-08	2.23E-07	0.004056911	0.000307843	0.003749067
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	52.02148526	5.49E-13	2.18E-10	6.20E-10	0.004006504	0.000312255	0.003694249
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	23.39542877	1.32E-06	1.10E-05	0.001490375	0.003294309	0.002010784	0.001283525
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	25.96841144	3.47E-07	3.50E-06	0.000392166	0.003143089	9.90E-05	0.00304407
