OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	taxonomy
OTU_395	19.33301039	1.10E-05	2.82E-05	0.006148338	3.12195122	0.235294118	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
OTU_2198	18.84788523	1.42E-05	3.48E-05	0.007927806	0.853658537	0.014705882	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
OTU_2215	16.46121276	4.97E-05	0.000100678	0.027807147	2.926829268	0.367647059	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
OTU_304	32.2648641	1.35E-08	1.54E-07	7.53E-06	4.43902439	0.397058824	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Trueperaceae; g__Truepera; s__
OTU_1	19.70509402	9.04E-06	2.46E-05	0.00506017	1.536585366	0.044117647	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_1815	18.55044158	1.65E-05	3.97E-05	0.009266146	1.097560976	0.029411765	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_146	21.20272459	4.13E-06	1.29E-05	0.00231379	10.87804878	2.529411765	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
OTU_1377	18.95258243	1.34E-05	3.37E-05	0.007504435	2.780487805	0.367647059	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
OTU_1339	17.46051146	2.93E-05	6.47E-05	0.016426917	2.195121951	0.147058824	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU_245	26.96964299	2.07E-07	1.19E-06	0.000115739	11.14634146	2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
OTU_1035	21.47823315	3.58E-06	1.15E-05	0.00200406	41.90243902	1.176470588	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
OTU_888	25.36705012	4.74E-07	2.20E-06	0.000265409	23.17073171	0.220588235	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__
