adj_V_ws,con_V_ws,adj_V_wd,con_V_wd
0.093376796,0.212724475,0.221766608,0.104081354
0.03662882,0.207880456,0.036570389,0.279280788
0.289112203,0.171170745,0.257698034,0.164014364
0.273741045,0.098498932,0.243072366,0.377474801
0.146834306,0.224643837,0.148975778,0.319113986
0.282776159,0.099710657,0.222811867,0.211359958
0.428262071,0.098529071,0.431700438,0.195864016
0.378150109,0.112889105,0.366146331,0.174188882
0.42204474,0.112344773,0.466225577,0.266338234
0.515537578,0.114197725,0.573928399,0.416790364
0.377855072,0.119388678,0.38482418,0.224169181
0.329138448,0.186619107,0.278238622,0.19517929
0.444921716,0.436313348,0.352261372,0.238635856
0.060439712,0.3248941,0.125938208,0.252731856
0.143730322,0.151646384,0.029507192,0.278513358
0.263883625,0.118810869,0.057752531,0.253469404
0.295803575,0.105530012,0.24864217,0.364796639
0.027003499,0.313506852,0.336668387,0.175379437
0.058422325,0.109775393,0.300854426,0.09687336
0.054993174,0.112211008,0.59468665,0.436314542
0.201749157,0.310315415,0.085533445,0.273367612
0.381723987,0.205814345,0.044856714,0.279838156
0.307703313,0.374137119,0.069299208,0.288103766
0.395513668,0.296486022,0.435260054,0.442938534
0.386725718,0.368986058,0.437888094,0.428356802
0.222525889,0.254023621,0.444814126,0.44346265
0.623757244,0.276255721,0.120374849,0.26876763
0.124337663,0.100787365,0.060445357,0.291355698
0.040048156,0.17493261,0.110442822,0.326432429
0.037595143,0.098216978,0.32372163,0.088955857
0.155497863,0.225459681,0.231788915,0.204603008
0.038085184,0.277051119,0.112478196,0.252681548
0.385129696,0.102316919,0.269572088,0.261775468
0.471052034,0.109738598,0.287295706,0.374178951
0.461940119,0.216095777,0.202938185,0.312767309
0.093542772,0.104103707,0.234787584,0.260465137
0.092083182,0.108470475,0.443999932,0.407163336
0.135558195,0.230808758,0.366623071,0.32106154
0.04741823,0.109831929,0.475914018,0.42364511
0.28688922,0.111181797,0.583623813,0.536433324
0.11066806,0.100219257,0.39497341,0.343245646
0.112451568,0.097362576,0.273852216,0.19659068
0.300579009,0.101805269,0.348385956,0.264945382
0.323004412,0.105159336,0.104318094,0.182726535
0.200951978,0.276294806,0.103090595,0.249450675
0.294017872,0.250738072,0.086020524,0.212842806
0.440601566,0.191938636,0.2241652,0.318847643
0.389245537,0.076528874,0.341245557,0.304326789
0.432082618,0.268311432,0.305506787,0.262931634
0.525110169,0.088209093,0.604660536,0.562155958
0.38779001,0.101395439,0.072462236,0.214908577
0.277652107,0.038266345,0.067842499,0.211448281
0.386481513,0.06884942,0.060347131,0.205097651
0.092050484,0.105942528,0.385992933,0.396384895
0.098397888,0.085866422,0.387113691,0.372726908
0.25036194,0.241196501,0.39510646,0.398880245
0.238572175,0.470479271,0.112700504,0.217646908
0.094789501,0.360399625,0.13498523,0.281761364
0.13263452,0.150412019,0.170001358,0.31682237
0.09406262,0.118370731,0.335682063,0.301563976
0.202974804,0.027431456,0.183066404,0.221075925
0.392656463,0.35888222,0.047525764,0.193541074
0.308636392,0.032103425,0.212525644,0.258117458
0.401870767,0.034467181,0.226959693,0.337487742
0.392048557,0.355750945,0.125902421,0.254945395
0.209923617,0.208056077,0.177711448,0.245315238
0.631854712,0.419492585,0.401597163,0.430356351
0.128617748,0.344467605,0.350749651,0.350492305
0.113836674,0.408897487,0.433583704,0.448156244
0.109695492,0.289413835,0.55655128,0.557085572
0.099479255,0.312272254,0.363254051,0.367624383
0.084131972,0.059253078,0.270816358,0.233128382
0.335912319,0.180542313,0.349587806,0.307065346
0.419807926,0.018918072,0.112105524,0.134446733
0.413883392,0.259676232,0.050307246,0.187159296
0.131463997,0.32054277,0.053524368,0.156590931
0.14949019,0.029131318,0.247782409,0.278288513
0.188802316,0.031615384,0.304132224,0.329394506
0.12230868,0.261758903,0.268651742,0.285581792
0.299404472,0.054171757,0.577304974,0.580894328
0.05789352,0.042954427,0.087448471,0.160063017
0.043903186,0.23884011,0.057137161,0.161904199
0.243976712,0.111340638,0.074000978,0.144872476
0.275297676,0.087311133,0.440617408,0.403095216
0.137438617,0.022459196,0.439102019,0.383556016
