CRvCR	CLvCL	CLvCR	DCvDC	DAvDA	DAvDC
0.080539507	0.118796436	0.091199008	0.248113307	0.089292857	0.274082454
0.173140601	0.16986857	0.101599433	0.272223361	0.046977974	0.227224187
0.13177705	0.091931977	0.151509653	0.272447667	0.051883983	0.169224576
0.089307121	0.093244308	0.04718257	0.199846514	0.275704527	0.054691731
0.147867147	0.357373826	0.046260705	0.270305575	0.275472243	0.246350728
0.2083947	0.194266228	0.341184667	0.25902864	0.048379595	0.066838174
0.160420172	0.102977067	0.193417576	0.289670505	0.03740565	0.090114361
0.080086714	0.12269689	0.061167967	0.287996169	0.034384221	0.041471686
0.205984133	0.167501002	0.060545242	0.289103219	0.060707435	0.052044968
0.120099261	0.121932754	0.111906893	0.295943061	0.179547051	0.086763099
0.133910783	0.212202022	0.069556106	0.22296873	0.056111118	0.069338616
0.152322085	0.185145032	0.205911456	0.4133675	0.032014109	0.218772843
0.142459235	0.106299145	0.127659294	0.293547175	0.236591703	0.446683782
0.236138329	0.210795811	0.086992283	0.306073897	0.106697345	0.33006923
0.085322882	0.269776437	0.155356798	0.292893089	0.038262731	0.137830927
0.083278483	0.226062637	0.279981229	0.284098259	0.05150525	0.103577933
0.076869775	0.180341549	0.206988142	0.261997996	0.050860654	0.04110005
0.125561028	0.126273011	0.178001136	0.293515144	0.037551904	0.33256789
0.264499815	0.160220698	0.159097909	0.287518922	0.04134296	0.052043162
0.322779254	0.256303077	0.099510103	0.253790045	0.235971021	0.046346739
0.247200091	0.294024377	0.269418827	0.340715785	0.054060949	0.32821583
0.119165782	0.263677031	0.277328725	0.279874303	0.089530302	0.181294536
0.097341486	0.201363687	0.244263211	0.262839665	0.297766263	0.39528838
0.123803373	0.149449022	0.143053288	0.34141549	0.126198216	0.317284955
0.11296619	0.173181789	0.095708755	0.255149607	0.105111746	0.380834756
0.100949672	0.152751407	0.123313351	0.255162068	0.373133149	0.260468398
0.045235912	0.144933842	0.105378518	0.278987185	0.22573282	0.292416375
0.110490956	0.151333831	0.087272493	0.28158726	0.381719152	0.037232042
0.141330234	0.203660007	0.091974556	0.285528896	0.121985945	0.156562938
0.139881634	0.206987942	0.187192048	0.254613866	0.301012906	0.037986693
0.151791723	0.170020086	0.187652628	0.189746152	0.034336883	0.240011755
0.112565794	0.200432944	0.105960526	0.282126837	0.039916308	0.304890366
0.170422828	0.141312234	0.14382941	0.294145696	0.045626174	0.029364531
0.105535327	0.213169542	0.079085716	0.219514698	0.04938545	0.053012772
0.105246921	0.16335289	0.156658064	0.280685244	0.033191318	0.238975342
0.114557898	0.211710341	0.10777075	0.280392356	0.055701834	0.040214205
0.298469697	0.159956706	0.156036306	0.285374822	0.037152035	0.035187115
0.140732749	0.177803392	0.127366405	0.282209274	0.037125515	0.217154013
0.188770574	0.158854084	0.118874957	0.287145256	0.037163347	0.09144059
0.142038317	0.182011704	0.098688489	0.284336363	0.121735895	0.073183485
0.137416061	0.154220179	0.167163815	0.2734202	0.231568061	0.036364944
0.214861813	0.264617397	0.128758731	0.282435305	0.043789495	0.048300231
0.149384385	0.119264544	0.248791213	0.282857834	0.065183573	0.030359278
0.138706529	0.112897226	0.09285314	0.100463479	0.066189731	0.038902666
0.213291268	0.127741216	0.057083365	0.194328229	0.046877761	0.283680637
0.172755991	0.314693483	0.132416526	0.132002094	0.033973792	0.161757149
0.151973407	0.187952616	0.086837068	0.18260215	0.050700581	0.118248251
0.207769307	0.133276111	0.10306987	0.19353323	0.102763273	0.080438938
0.199484154	0.128390999	0.338621051	0.250862955	0.048982247	0.226055735
0.216494267	0.176024825	0.176909465	0.217995285	0.275565605	0.062334141
0.079209717	0.149705768	0.107607956	0.187179679	0.286469456	0.078990086
0.094404258	0.180675317	0.114395049	0.212179651	0.119814804	0.104598054
0.132963542	0.174185695	0.168927969	0.107915261	0.108606748	0.073039183
0.182866848	0.16369647	0.126236521	0.335708422	0.100971372	0.043773927
0.238754637	0.214556511	0.195672933	0.172262749	0.057687516	0.062353871
0.323894324	0.251477229	0.181782735	0.201784077	0.112861038	0.174036499
0.236187431	0.192096664	0.144595294	0.188330932	0.130279352	0.405075874
0.17340612	0.158341613	0.213061855	0.257709829	0.078211453	0.272315017
0.132201093	0.169297929	0.251373037	0.171457468	0.184566024	0.079746583
0.178599751	0.160837425	0.191972953	0.2684469	0.064560653	0.052513632
0.154982917	0.242180954	0.156287699	0.259943622	0.101818718	0.11164303
0.080831351	0.281070463	0.155749869	0.183276091	0.124939719	0.270962378
0.081315258	0.230305219	0.155255644	0.270541733	0.122123015	0.124570232
0.155540197	0.199244164	0.238548053	0.238785246	0.101871316	0.11598123
0.198504842	0.108466268	0.281855338	0.133212884	0.105620742	0.275075581
