"","cnt_av","cnt_sd","diab_av","diab_sd"
"OTU_3109",0.000117650061960471,0.000915791864044702,7.13384047805292e-05,0.000456788668710002
"OTU_8366",0.000105626959380096,0.000950642634420868,0,0
"OTU_8539",0,0,7.9417299390909e-05,0.000508518834601391
"OTU_4741",0.000207658560997909,0.00186892704898118,0,0
"OTU_4597",0.000113180042284064,0.00101862038055657,0,0
"OTU_5042",4.70598422365849e-05,0.000423538580129264,0,0
"OTU_8675",0.000211769290064632,0.00190592361058169,0,0
"OTU_7903",1.47582023505979e-05,0.000132823821155381,0,0
"OTU_5839",8.38805165794501e-05,0.000409695423510885,4.08889252346002e-05,0.000261816868212248
"OTU_6670",4.54925726623078e-05,0.000237594302784296,0,0
"OTU_8311",0,0,0.000115840626466108,0.000741741923004541
"OTU_4549",4.30783439995313e-05,0.000387705095995782,0,0
"OTU_4632",0.000179874372250519,0.00143665233648571,0,0
"OTU_5005",5.14017778846935e-05,0.000462616000962241,0,0
"OTU_4791",9.4882826825083e-05,0.000853945441425747,0,0
"OTU_8770",0,0,0,0
"OTU_7095",6.45610093468201e-05,0.000581049084121381,0,0
"OTU_7040",0.000157720426124541,0.00141948383512087,0,0
"OTU_7648",8.22420228116344e-05,0.000740178205304709,0,0
"OTU_5609",0.000107457702812526,0.000717479087567205,0,0
"OTU_7695",0.000195856599930895,0.00156971292478344,0,0
"OTU_4773",0.000211769290064632,0.00190592361058169,0,0
"OTU_5379",0.000174283758590892,0.00116938653547665,0,0
"OTU_486",0.00151732073591773,0.00445156288477991,0.00580609130306255,0.0241585109702348
"OTU_3337",0.000765867441241159,0.00351974920830242,0,0
"OTU_8683",0.000343287617985314,0.00308958856186782,0,0
"OTU_2859",0.000212486331436271,0.00124122486310607,0,0
"OTU_4628",8.29042004656729e-05,0.000746137804191056,0,0
"OTU_8498",9.09705605922604e-05,0.00061057447222195,0,0
"OTU_3541",0.000363852409020693,0.00250683934222323,0.00146630411578627,0.00938892742323863
"OTU_4792",0.000175543362941618,0.000828158547208949,0,0
"OTU_537",0.00117767739731034,0.00398251982657572,0.000238251898172727,0.00152555650380417
"OTU_5008",0.000180038339164325,0.00162034505247893,0,0
"OTU_6089",4.05281301698696e-05,0.000364753171528826,0.000342498346769175,0.00174740879884966
"OTU_771",0.00243540146229258,0.00603248311846601,0.00019963204707265,0.00102007160103511
"OTU_7080",0.00021041368903833,0.00133874292954541,0.000420929675805225,0.00269526500940319
"OTU_205",0.0372275411680605,0.073573202136445,0.013245066618492,0.038718750696692
"OTU_2283",0.00367272312801414,0.00616151549263712,0.000931650852327792,0.0025910852938534
"OTU_7187",0.000247804677817352,0.00103004177218542,0.000563445053710886,0.00273204075085795
"OTU_1673",0.00265304731215947,0.00717991033661085,0.00193634269274642,0.00602762584519306
"OTU_698",0.00144572874932456,0.00333913211871144,0.000574957418985354,0.0025993855218249
"OTU_6236",4.05281301698696e-05,0.000364753171528826,0.000207410615358258,0.00132807593830133
"OTU_1833",0.000545745680391933,0.00457343746586353,9.59301628414514e-06,6.14252750790978e-05
"OTU_4102",1.81332770476414e-05,0.000163199493428772,8.09141541310245e-05,0.000361894982972067
"OTU_2150",0.000176047022970716,0.000811561725660998,0,0
"OTU_3794",0,0,0,0
"OTU_5800",8.03056657696266e-05,0.000554008492971716,0,0
"OTU_8266",0.000264067398450241,0.00237660658605217,0,0
"OTU_1917",0.000308821536325501,0.00142280933400251,0,0
"OTU_5694",0.000103985504420684,0.000935869539786154,0,0
"OTU_7625",2.93783856753342e-05,0.000264405471078008,0,0
"OTU_1709",0.00286784327429246,0.00973224457968287,0.000108211499784815,0.000494145474670786
"OTU_3752",0.000558604343227545,0.00273684505039374,0.0001145000064889,0.000528107216401625
"OTU_2622",0.00158322390045164,0.00600722239794226,0.000144387517364619,0.000521841225896972
"OTU_2750",0.00189336351762949,0.00501436315884053,7.14115091786998e-05,0.000457256765253791
"OTU_5058",0.00210517972761406,0.00618473774651572,0.000192000030720005,0.00122940005029112
"OTU_7581",4.5735747540503e-05,0.000411621727864527,0,0
"OTU_3859",0.000310691343207104,0.00279622208886394,0,0
"OTU_6064",0.00036950262293152,0.00175381592264212,9.60000153600025e-05,0.000614700025145558
"OTU_7680",5.95995008899397e-05,0.000536395508009458,0,0
"OTU_768",0.000127319642433367,0.000677782198152069,0,0
"OTU_5112",4.50095847910813e-05,0.000405086263119731,0,0
"OTU_5874",8.45912805992303e-05,0.00054475069672406,0,0
"OTU_4835",0.000455240845234013,0.00325641520014465,0,0
"OTU_2350",0.000261905980391308,0.00108460629145067,0.000193496579947949,0.00123898264092508
"OTU_2505",0.000823946096273394,0.00359854201003881,8.62531832815455e-05,0.000552289848425802
"OTU_6496",0,0,0.00023130115224982,0.00148105001411697
"OTU_6100",0.000150515761069776,0.00135464184962798,0,0
"OTU_4786",5.62277344899463e-05,0.000367899912818166,0,0
"OTU_7651",5.41079645976998e-05,0.000486971681379299,0,0
"OTU_8732",9.88984705719077e-05,0.000756976646375954,6.05442321023682e-05,0.000387672240011434
"OTU_4380",0.000229721789913052,0.000987143831037193,0,0
"OTU_5850",0.000112657447231815,0.00101391702508633,4.08889252346002e-05,0.000261816868212248
"OTU_4505",4.87271731466498e-05,0.000438544558319848,0,0
"OTU_6438",0.000272705850184609,0.00160716762116498,0,0
"OTU_5434",6.46142280207031e-05,0.000581528052186327,6.05442321023682e-05,0.000387672240011434
"OTU_7622",5.52694669771153e-05,0.000497425202794037,0,0
