row.names,control.skin,diabetic.skin,taxa
OTU_3,5.90E-04,4.07E-04,Staphylococcus
OTU_5109,3.82E-05,2.03E-04,Staphylococcusc pettenkoferi
OTU_8560,3.96E-05,8.68E-05,Staphylococcus
OTU_90,1.66E-05,3.12E-05,Corynebacterium
OTU_52,2.06E-05,1.98E-05,Micrococcus
OTU_16,9.45E-06,1.97E-05,Acinetobacter johnsonii
OTU_31,6.58E-06,1.90E-05,(f)Enterobacteriaceae
OTU_188,8.60E-06,1.52E-05,Enhydrobacter
OTU_13,1.61E-05,6.70E-06,Kocuria palustris
OTU_48,3.10E-06,1.84E-05,Acinetobacter lwoffii
OTU_8,9.09E-06,6.45E-06,(f)Pseudomonadaceae
OTU_265,3.87E-06,1.10E-05,(f)Exiguobacteraceae
OTU_21,1.12E-05,1.89E-06,Janibacter
OTU_6,7.61E-06,4.61E-06,(f)Enterobacteriaceae
OTU_1081,2.38E-08,1.17E-05,Lysobacter
OTU_29,5.59E-06,5.86E-06,Corynebacterium
OTU_34,6.08E-06,1.63E-06,Brachybacterium conglomeratum
OTU_2375,7.33E-06,3.66E-07,Dietzia
OTU_37,4.86E-06,2.74E-06,Janthinobacterium
OTU_24,4.74E-06,2.77E-06,Brevibacterium
